"","wtp","ev_certainty_per_person_median","ev_certainty_per_person_IQR","ev_certainty_per_person_range","ev_uncertainty_per_person_median","ev_uncertainty_per_person_IQR","ev_uncertainty_per_person_range","evpi_per_person_median","evpi_per_person_IQR","evpi_per_person_range","evpi_percent_of_expected_nmb_median","evpi_percent_of_expected_nmb_IQR","evpi_percent_of_expected_nmb_range"
"1",75,2.66,"2.38-3.1","0.61-5.08",2.58,"2.31-3.08","0.53-5.01",0.05,"0.03-0.08","0.02-0.23",1.8,"0.89-3.52","0.49-30.63"
"2",250,10.54,"8.97-13.61","7.5-33.12",10.27,"8.78-13.56","6.97-32.97",0.07,"0.05-0.19","0.03-0.53",0.54,"0.39-2.09","0.2-7.57"
"3",500,24.99,"22.74-31.46","19.1-73.19",24.64,"22.21-31.38","18.92-72.91",0.12,"0.08-0.24","0.05-0.8",0.38,"0.3-0.92","0.14-3.65"
"4",1000,56.9,"48.68-67.15","39.13-153.34",56.42,"48.54-67.02","39.02-152.8",0.17,"0.12-0.43","0.09-1.43",0.29,"0.24-0.5","0.11-2.73"
"5",3000,183.33,"156.97-209.94","118.74-473.95",182.15,"156.54-209.57","118.44-472.52",0.49,"0.34-1.21","0.26-3.97",0.26,"0.2-0.44","0.1-2.29"
